id,domain,webURL,numViolations,violationnumberID,initialImpactScore,Description,LongDescription,AffectedHTMLElement(s),domain_alias,updated_Description,scrape_status,html_filepath
8454429618,Government and Public Services,https://www.epa.gov/,1,aria-hidden-focus,4,Ensures aria-hidden elements do not contain focusable elements,https://dequeuniversity.com/rules/axe/4.4/aria-hidden-focus?application=axeAPI,"<li class=""hero-slideshow__item tns-item tns-normal"" id=""tns1-item1"" aria-hidden=""true"" tabindex=""-1"">, <li class=""hero-slideshow__item tns-item tns-normal"" id=""tns1-item2"" aria-hidden=""true"" tabindex=""-1"">, <li class=""hero-slideshow__item tns-item tns-normal tns-slide-cloned"" aria-hidden=""true"" tabindex=""-1"">",gov,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",scraped,data/raw_html/8454429618.txt
9645471193,Government and Public Services,https://www.fda.gov/,1,color-contrast,4,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.4/color-contrast?application=axeAPI,"<a href=""/news-events/fda-newsroom"" title=""Newsroom"" class=""lcds-card--audience"">Newsroom</a>, <a href=""/news-events/fda-meetings-conferences-and-workshops"" title=""Meetings"" class=""lcds-card--audience"">Meetings</a>, <a href=""/news-events/congressional-testimony"" title=""Testimony"" class=""lcds-card--audience"">Testimony</a>, <a href=""/news-events/speeches-fda-officials"" title=""Speeches"" class=""lcds-card--audience"">Speeches</a>",gov,Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1. ,scraped,data/raw_html/9645471193.txt
692205405,News and Media,https://www.nytimes.com/,5,color-contrast,4,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.4/color-contrast?application=axeAPI,"<div direction=""positive"" class=""css-ke4w0y e55wwux1"">+0.9%</div>",news,Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1. ,scraped,data/raw_html/692205405.txt
692205405,News and Media,https://www.nytimes.com/,5,duplicate-id-active,4,Ensures every id attribute value of active elements is unique,https://dequeuniversity.com/rules/axe/4.4/duplicate-id-active?application=axeAPI,"<div id=""fides-button-group"" tabindex=""-1"">",news,"Duplicate active IDs are common validation errors that can break the accessibility of labels for focusable elements, forms, table header cells, etc.",scraped,data/raw_html/692205405.txt
692205405,News and Media,https://www.nytimes.com/,5,duplicate-id-aria,5,Ensures every id attribute value used in ARIA and in labels is unique,https://dequeuniversity.com/rules/axe/4.4/duplicate-id-aria?application=axeAPI,"<label class=""fides-toggle"" for=""Store and/or access information on a device"" data-testid=""toggle-Store and/or access information on a device"" id=""toggle-1"">, <div id=""1"" class=""fides-disclosure-hidden"">, <label class=""fides-toggle"" for=""Use limited data to select advertising"" data-testid=""toggle-Use limited data to select advertising"" id=""toggle-2"">, <div id=""2"" class=""fides-disclosure-hidden"">, <div id=""3"" class=""fides-disclosure-hidden"">, <h3 id=""U.S.-links-column-header"" class=""css-1nudrh3"">Sections</h3>, <h3 id=""U.S.-thumbnail-column-header"" class=""css-1nudrh3"">Newsletters</h3>, <h3 id=""World-links-column-header"" class=""css-1nudrh3"">Sections</h3>, <h3 id=""World-thumbnail-column-header"" class=""css-1nudrh3"">Newsletters</h3>, <h3 id=""Business-links-column-header"" class=""css-1nudrh3"">Sections</h3>, <h3 id=""Business-thumbnail-column-header"" class=""css-1nudrh3"">Newsletters</h3>, <h3 id=""Arts-links-column-header"" class=""css-1nudrh3"">Sections</h3>, <h3 id=""Arts-thumbnail-column-header"" class=""css-1nudrh3"">Newsletters</h3>, <h3 id=""Lifestyle-links-column-header"" class=""css-1nudrh3"">Sections</h3>, <h3 id=""Lifestyle-thumbnail-column-header"" class=""css-1nudrh3"">Newsletters</h3>, <h3 id=""Opinion-links-column-header"" class=""css-1nudrh3"">Sections</h3>, <h3 id=""Opinion-thumbnail-column-header"" class=""css-1nudrh3"">Podcasts</h3>, <h3 id=""Audio-links-column-header"" class=""css-1nudrh3"">Listen</h3>, <h3 id=""Audio-thumbnail-column-header"" class=""css-1nudrh3"">Featured</h3>, <h3 id=""Games-links-icons-column-header"" class=""css-1nudrh3"">Play</h3>, <h3 id=""Games-links-column-header"" class=""css-1nudrh3"">Community</h3>, <h3 id=""Games-thumbnail-column-header"" class=""css-1nudrh3"">Newsletters</h3>, <h3 id=""Cooking-links-column-header"" class=""css-1nudrh3"">Recipes</h3>, <h3 id=""Cooking-thumbnail-column-header"" class=""css-1nudrh3"">Newsletters</h3>, <h3 id=""Wirecutter-links-column-header"" class=""css-1nudrh3"">Reviews</h3>, <h3 id=""Wirecutter-thumbnail-column-header"" class=""css-1nudrh3"">Newsletters</h3>",news,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",scraped,data/raw_html/692205405.txt
692205405,News and Media,https://www.nytimes.com/,5,duplicate-id,2,Ensures every id attribute value is unique,https://dequeuniversity.com/rules/axe/4.4/duplicate-id?application=axeAPI,"<g id=""Page-1"" stroke=""none"" stroke-width=""1"" fill=""none"" fill-rule=""evenodd"">, <g id=""Artboard""><g id=""Group""><path d=""M2.5,9 L2.5,3.373"" id=""Shape"" stroke=""#3f893b""></path><polyline id=""Shape"" fill=""#3f893b"" fill-rule=""nonzero"" points=""4.86293961 4.09179688 2.5 0 0.13706039 4.09179688""></polyline></g></g>, <g id=""Group""><path d=""M2.5,9 L2.5,3.373"" id=""Shape"" stroke=""#3f893b""></path><polyline id=""Shape"" fill=""#3f893b"" fill-rule=""nonzero"" points=""4.86293961 4.09179688 2.5 0 0.13706039 4.09179688""></polyline></g>, <path d=""M2.5,9 L2.5,3.373"" id=""Shape"" stroke=""#3f893b""></path>, <div id=""U.S.-thumbnail-column"">, <div id=""World-thumbnail-column"">, <div id=""Business-thumbnail-column"">, <div id=""Arts-thumbnail-column"">, <div id=""Lifestyle-thumbnail-column"">, <div id=""Opinion-thumbnail-column"">, <div id=""Audio-brand-column"" class=""css-7s6arl"">, <div id=""Audio-thumbnail-column"">, <div id=""Games-brand-column"" class=""css-7s6arl""><a href=""https://www.nytimes.com/crosswords""><h3>Games</h3><p>Word games, logic puzzles and crosswords, including an extensive archive.</p></a></div>, <div id=""Games-links-icons-column"" class=""css-j7qwjs"">, <div id=""Games-thumbnail-column"">, <div id=""Cooking-brand-column"" class=""css-7s6arl""><a href=""https://cooking.nytimes.com/""><h3>Cooking</h3><p>Recipes, advice and inspiration for everyday cooking, special occasions and more.</p></a></div>, <div id=""Cooking-thumbnail-column"">, <div id=""Wirecutter-brand-column"" class=""css-7s6arl""><a href=""https://www.nytimes.com/wirecutter""><h3>Wirecutter</h3><p>Reviews and recommendations for thousands of products.</p></a></div>, <div id=""Wirecutter-thumbnail-column"">, <div id=""The Athletic-brand-column"" class=""css-7s6arl""><a href=""https://www.nytimes.com/athletic/""><h3>The Athletic</h3><p>Personalized coverage of your sports teams and leagues.</p></a></div>, <h3 id=""The Athletic-links-column-header"" class=""css-1nudrh3"">Leagues</h3>, <div id=""The Athletic-thumbnail-column"">, <h3 id=""The Athletic-thumbnail-column-header"" class=""css-1nudrh3"">Newsletters</h3>, <script id=""100000008875625-script-0""></script>, <script id=""100000009545459-script-0""></script>, <script id=""100000009548412-script-0""></script>, <script id=""100000009547375-script-0""></script>",news,"Duplicate IDs are common validation errors that may break the accessibility of labels, e.g., form fields, table header cells.",scraped,data/raw_html/692205405.txt
692205405,News and Media,https://www.nytimes.com/,5,nested-interactive,4,Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies,https://dequeuniversity.com/rules/axe/4.4/nested-interactive?application=axeAPI,"<div role=""tab"" class=""css-jsjvin"">, <div role=""tab"" class=""css-jsjvin"">, <div role=""tab"" class=""css-jsjvin"">, <div role=""tab"" class=""css-jsjvin"">",news,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",scraped,data/raw_html/692205405.txt
5275238699,News and Media,https://www.bbc.com/,3,button-name,5,Ensures buttons have discernible text,https://dequeuniversity.com/rules/axe/4.4/button-name?application=axeAPI,"<button class=""sc-49542412-3 ipGSFC""><svg viewBox=""0 0 32 32"" width=""20"" height=""20"" category=""actions"" icon=""list-view-text"" class=""sc-1097f7fe-0 jmthjj""><path d=""M1 7.5h30V1.9H1v5.6zm0 22.6h30v-5.6H1v5.6zm0-11.3h30v-5.6H1v5.6z""></path></svg></button>, <button class=""sc-49542412-3 sc-49542412-4 ipGSFC eojOvQ"">, <button type=""button"" data-testid=""social-button-x"" class=""sc-c3b248c2-2 sc-c3b248c2-5 sc-c3b248c2-6 cQIFd iIoZGj gMMSkD"">, <button type=""button"" data-testid=""social-button-facebook"" class=""sc-c3b248c2-2 sc-c3b248c2-5 sc-c3b248c2-6 cQIFd iIoZGj gMMSkD"">, <button type=""button"" data-testid=""social-button-instagram"" class=""sc-c3b248c2-2 sc-c3b248c2-5 sc-c3b248c2-6 cQIFd iIoZGj gMMSkD"">, <button type=""button"" data-testid=""social-button-tiktok"" class=""sc-c3b248c2-2 sc-c3b248c2-5 sc-c3b248c2-6 cQIFd iIoZGj gMMSkD"">, <button type=""button"" data-testid=""social-button-linkedin"" class=""sc-c3b248c2-2 sc-c3b248c2-5 sc-c3b248c2-6 cQIFd iIoZGj gMMSkD"">, <button type=""button"" data-testid=""social-button-youtube"" class=""sc-c3b248c2-2 sc-c3b248c2-5 sc-c3b248c2-6 cQIFd iIoZGj gMMSkD"">",news,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",scraped,data/raw_html/5275238699.txt
5275238699,News and Media,https://www.bbc.com/,3,color-contrast,4,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.4/color-contrast?application=axeAPI,"<h2 data-testid=""card-headline"" class=""sc-4fedabc7-3 iscyVn"">Watch: Starmer speaks for first time as UK PM<!-- --></h2>, <p data-testid=""card-description"" class=""sc-b8778340-4 fsrXqA"">Hours after winning the general election, Sir Keir Starmer gives his first address from outside No 10.</p>, <span data-testid=""card-metadata-lastupdated"" class=""sc-4e537b1-1 iIHPGq"">12 hrs ago</span>, <span data-testid=""card-metadata-tag"" class=""sc-4e537b1-2 dLCxCA"">Politics</span>, <h2 data-testid=""card-headline"" class=""sc-4fedabc7-3 iscyVn"">Watch July 4 fireworks misfire into Utah crowds<!-- --></h2>, <p data-testid=""card-description"" class=""sc-b8778340-4 fsrXqA"">Eyewitness video shows the malfunction that led to multiple injuries and several hospitalisations.</p>, <span data-testid=""card-metadata-lastupdated"" class=""sc-4e537b1-1 iIHPGq"">5 hrs ago</span>, <span data-testid=""card-metadata-tag"" class=""sc-4e537b1-2 dLCxCA"">US &amp; Canada</span>, <h2 data-testid=""card-headline"" class=""sc-4fedabc7-3 iscyVn"">Moment police chase ends in head-on collision<!-- --></h2>, <p data-testid=""card-description"" class=""sc-b8778340-4 fsrXqA"">Dashcam footage shows the truck at the centre of the chase lose two tyres before crashing.</p>, <span data-testid=""card-metadata-lastupdated"" class=""sc-4e537b1-1 iIHPGq"">5 hrs ago</span>, <span data-testid=""card-metadata-tag"" class=""sc-4e537b1-2 dLCxCA"">World</span>, <h2 data-testid=""card-headline"" class=""sc-4fedabc7-3 iscyVn"">Biden says he's 'not going anywhere' at July 4 event<!-- --></h2>, <p data-testid=""card-description"" class=""sc-b8778340-4 fsrXqA"">President Joe Biden was unclear in parts of his Independence Day speech, but insisted he won’t step aside.</p>, <span data-testid=""card-metadata-lastupdated"" class=""sc-4e537b1-1 iIHPGq"">8 hrs ago</span>, <span data-testid=""card-metadata-tag"" class=""sc-4e537b1-2 dLCxCA"">US &amp; Canada</span>, <h2 data-testid=""card-headline"" class=""sc-4fedabc7-3 iscyVn"">Sunak leaves No 10: I take responsibility for this loss<!-- --></h2>, <p data-testid=""card-description"" class=""sc-b8778340-4 fsrXqA"">""I have heard your anger, Rishi Sunak has said outside Downing Street, ""and I take responsibility for this loss"".</p>, <span data-testid=""card-metadata-lastupdated"" class=""sc-4e537b1-1 iIHPGq"">14 hrs ago</span>, <span data-testid=""card-metadata-tag"" class=""sc-4e537b1-2 dLCxCA"">Politics</span>, <h2 data-testid=""card-headline"" class=""sc-4fedabc7-3 iscyVn"">Election 2024: The story of the night in 100 seconds<!-- --></h2>, <p data-testid=""card-description"" class=""sc-b8778340-4 fsrXqA"">Sir Keir Starmer's Labour Party won a landslide victory as the Tories suffered a dramatic decline.</p>, <span data-testid=""card-metadata-lastupdated"" class=""sc-4e537b1-1 iIHPGq"">17 hrs ago</span>, <span data-testid=""card-metadata-tag"" class=""sc-4e537b1-2 dLCxCA"">Politics</span>",news,Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1. ,scraped,data/raw_html/5275238699.txt
5275238699,News and Media,https://www.bbc.com/,3,image-alt,5,Ensures <img> elements have alternate text or a role of none or presentation,https://dequeuniversity.com/rules/axe/4.4/image-alt?application=axeAPI,"<img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img sizes=""96vw"" srcset=""https://ichef.bbci.co.uk/images/ic/160x90/p0gnrf4s.jpg.webp 160w,https://ichef.bbci.co.uk/images/ic/240x135/p0gnrf4s.jpg.webp 240w,https://ichef.bbci.co.uk/images/ic/320x180/p0gnrf4s.jpg.webp 320w,https://ichef.bbci.co.uk/images/ic/480x270/p0gnrf4s.jpg.webp 480w,https://ichef.bbci.co.uk/images/ic/640x360/p0gnrf4s.jpg.webp 640w,https://ichef.bbci.co.uk/images/ic/800x450/p0gnrf4s.jpg.webp 800w,https://ichef.bbci.co.uk/images/ic/1024x576/p0gnrf4s.jpg.webp 1024w,https://ichef.bbci.co.uk/images/ic/1376x774/p0gnrf4s.jpg.webp 1376w,https://ichef.bbci.co.uk/images/ic/1920x1080/p0gnrf4s.jpg.webp 1920w"" src=""https://ichef.bbci.co.uk/images/ic/480x270/p0gnrf4s.jpg.webp"" loading=""lazy"" class=""sc-13b8515c-0 hbOWRP"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">, <img src=""/bbcx/grey-placeholder.png"" class=""sc-13b8515c-0 WTpgI hide-when-no-script"">",news,"Images, image buttons, and image map hot spots have appropriate, equivalent alternative text.Images that do not convey content, are decorative, or contain content that is already conveyed in text are given empty alternative text (alt="""") or implemented as CSS backgrounds. All linked images have descriptive alternative text.Equivalent alternatives to complex images are provided in context or on a separate linked page.Form buttons have a descriptive value.Inputs have associated accessible names.Embedded multimedia is identified via accessible text.Frames and iframes are appropriately titled. ",scraped,data/raw_html/5275238699.txt
